weblink,date,status,type_description
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,10/25/2021,FAILED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,08/23/2021,FAILED,CONSERVATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,08/09/2021,FAILED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,03/03/2021,FAILED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,11/30/2020,FAILED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,05/30/2019,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,05/21/2019,FAILED,CONSERVATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,08/27/2018,FAILED,CONSERVATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,05/30/2018,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/21/2017,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/21/2017,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,06/19/2017,FAILED,CONSERVATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,04/21/2017,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,03/22/2017,PASSED,SIGN ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,12/21/2016,FAILED,CONSERVATION COMPLAINT INSPECT
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,11/03/2016,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,09/01/2016,PASSED,REFRIGERATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,08/24/2016,PASSED,REFRIGERATION ANNUAL
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,08/02/2016,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,08/02/2016,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,10/23/2015,PASSED,BOILER ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,08/28/2015,PASSED,ANNUAL INSPECTION
https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=130125,07/28/2015,PASSED,ANNUAL INSPECTION
